,pathway,NES,size
0,GO_APPENDAGE_DEVELOPMENT,2.07369944992074,21
1,GO_BLOOD_VESSEL_MORPHOGENESIS,1.7702778163719601,28
2,GO_BONE_MORPHOGENESIS,2.40997603865019,12
3,GO_CARBOXYLIC_ACID_CATABOLIC_PROCESS,2.09379650364335,4
4,GO_CELLULAR_RESPONSE_TO_CYTOKINE_STIMULUS,1.8133535492766597,24
5,GO_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,2.24346379344933,17
6,GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID,2.08932224806923,8
7,GO_CELL_MOTILITY,1.7665675357133002,34
8,GO_CHONDROCYTE_DIFFERENTIATION,2.68004302616307,12
9,GO_COATED_VESICLE,1.91381628653929,23
10,GO_CONTRACTILE_FIBER,-2.1116545248581398,30
11,GO_CYTOKINE_ACTIVITY,2.0599773778107,9
12,GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY,2.02057329544184,17
13,GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE,2.1616486876919,11
14,GO_ERYTHROCYTE_HOMEOSTASIS,-1.96480445540342,8
15,GO_EXTRACELLULAR_MATRIX_COMPONENT,2.3280952541109396,21
16,GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,2.0351712820629997,15
17,GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,2.054790765976,27
18,GO_GLYCOPROTEIN_METABOLIC_PROCESS,1.83511996373851,22
19,GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING,2.22754104673421,11
20,GO_HOMEOSTASIS_OF_NUMBER_OF_CELLS,-2.01539278121651,10
21,GO_I_BAND,-2.01686261061857,21
22,GO_LIMB_DEVELOPMENT,2.07369944992074,21
23,GO_LOCALIZATION_OF_CELL,1.7665675357133002,34
24,GO_MYELOID_CELL_HOMEOSTASIS,-1.96480445540342,8
25,GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS,1.83044472495002,17
26,GO_ORGANIC_ACID_CATABOLIC_PROCESS,2.09379650364335,4
27,GO_OSSIFICATION,2.13231568147985,30
28,GO_PEPTIDASE_INHIBITOR_ACTIVITY,2.05936346456896,13
29,GO_PEPTIDASE_REGULATOR_ACTIVITY,2.0085660489970403,15
30,GO_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,2.07444012551465,10
31,GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION,2.3221968313626804,9
32,GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1.56521141208023,40
33,GO_POSITIVE_REGULATION_OF_PROTEIN_SECRETION,1.9617593083066898,11
34,GO_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY,1.9844345777322598,15
35,GO_PROTEINACEOUS_EXTRACELLULAR_MATRIX,1.70323315808324,27
36,GO_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,-1.85421946402361,6
37,GO_RECEPTOR_BINDING,1.6314651052356002,38
38,GO_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,2.05180399894375,19
39,GO_REGULATION_OF_CYTOKINE_SECRETION,2.175320917231,13
40,GO_REGULATION_OF_MUSCLE_CONTRACTION,-1.8730782805403603,11
41,GO_RESPONSE_TO_CYTOKINE,1.8506669039311798,31
42,GO_RESPONSE_TO_INTERFERON_GAMMA,2.21937885830072,17
43,GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY,2.10661545126846,10
44,GO_SKELETAL_SYSTEM_MORPHOGENESIS,2.45834473673392,15
45,GO_VASCULATURE_DEVELOPMENT,1.7622979405963302,35
