,GSM2651032,GSM2651033,GSM2651034,GSM2651035,GSM2651036,GSM2651037,GSM2651038,GSM2651039,GSM2651040,GSM2651041,GSM2651042,GSM2651043,GSM2651044,GSM2651045,GSM2651046,GSM2651047
Cxcl5,11.95404501,12.68031702,6.87373102,9.11301724,8.611800212,6.67344727,12.37244913,12.05255747,7.815844378,10.02341724,12.53350832,11.45354437,12.18563024,12.96407194,8.160793852,7.572220507
2310010J17Rik,11.02927011,11.09096561,11.82954557,11.43085568,11.53912321,11.83117647,10.96244407,10.85383838,11.80339101,11.73845641,10.81682279,11.06706319,10.96567407,10.92831096,11.55846381,11.75529076
Rgcc,13.4682427,13.47529141,14.64499873,14.11855706,14.33826922,14.50840127,13.57560293,13.3980378,14.64786211,14.60170492,13.18825488,13.80351332,13.6083666,13.52091805,14.47201156,14.62370795
Eif1a,11.75747984,11.70852879,10.62655998,10.94461343,11.10313652,10.80117916,11.91789411,11.99367236,10.96107281,10.88684753,11.83385828,11.59482256,11.61571306,11.80516631,10.97471705,10.94552876
Socs3,13.33316155,13.04462711,11.39079363,12.41110783,12.58296621,11.51422952,13.51309152,13.25087385,11.91897135,12.03870706,13.30859994,13.26960081,13.25178267,13.37794664,11.84512347,11.79409578
Csgalnact1,12.1988892,11.9260827,9.8854623,10.55104238,10.988283,9.872122797,12.30661184,12.28063127,10.53102389,10.14423992,12.49827143,11.88917072,12.25980249,12.48290315,10.27481369,10.66089598
Rbp1,13.26998579,12.69202926,10.77714612,11.13639922,11.50420218,10.99620373,13.34731427,13.19342763,11.26044452,11.91231803,13.38563402,12.82254854,13.45085418,13.37750939,11.64550638,11.63238825
Slc13a3,9.972508298,10.75355053,6.71162939,7.763254791,7.880153604,6.972434984,11.07291414,10.10941074,7.270396044,8.126642398,10.29327884,11.39601235,9.958050381,9.887247483,7.342881386,7.844540968
Mif,14.20597605,14.028741125,13.103452365,13.21133376,13.439934405,13.245181085,14.19013171,14.057770305,13.246983385,13.23271001,14.365195115,13.830964315,14.26953073,14.33782634,13.37492276,13.32026336
Cxcl1,10.2593923,10.59152071,7.10791889,9.336238257,9.629491343,6.947516327,10.42440559,10.53819452,7.929641055,9.027989039,10.45692868,9.982719391,11.48595847,10.94540012,8.416627227,7.531525961
Adamts8,8.048828768,8.377232112,10.2289856,10.95982431,11.15351086,10.84513669,8.177553904,7.258112202,9.97058567,10.0920171,7.399088673,8.242701423,7.739815126,8.026059967,11.1318955,11.08711319
Ms4a7,13.513953555,13.18480038,10.99764993,11.63917306,11.69877742,11.36441218,13.51796042,13.387143615,11.504012285,11.825518825,13.511384805,13.450125165,13.236275215,12.952904545,12.05249069,12.0435961
Plod3,10.872831156,10.7752039325,9.8083905595,10.026918917,10.2541215495,9.6345839515,10.9374955365,10.800423193,9.952221111,9.885115576,11.1902960915,10.735887937,11.022237445,11.041767124,9.9825183695,10.04165198
Adamts14,11.22755092,11.192042705,9.579802103,10.5099140225,10.196529284,9.78257145,11.296311665,10.9971049365,9.945723152,9.976295241,11.0707159985,11.4310569,11.18511541,11.266492435,9.9982173875,10.146183959
Cutal,10.16323719,10.31934088,11.39947908,11.05262168,11.29853678,11.58502007,9.800261171,9.986231413,11.65324694,10.88976571,9.576121506,9.784955322,9.483459513,9.337361648,11.1149669,11.48804486
Saa3,12.91347497,14.63189464,6.951352225,9.85393542,10.73812557,7.099261873,13.85661489,14.20018995,10.18953289,10.96503721,14.22908325,13.39541493,13.98702527,14.63963346,9.928941677,8.63703896
Selenbp1,11.06547335,11.62152649,12.57924951,12.20936322,11.94672391,12.44860285,11.00992837,11.05403253,12.33980679,12.32654136,10.75494182,11.7768638,11.0421251,10.65293564,12.27720625,12.41840443
Vldlr,9.092848019,9.16260011,10.3391308675,9.821081994,10.2210197255,10.361464009,9.144385516,9.0527126695,10.816440325,10.5836467115,8.7167219925,8.9187473485,8.8774235825,8.5049038255,10.3147394335,10.2593058235
Nme3,10.4066915,10.5861637,11.99033038,11.36562298,11.06991988,11.78828414,10.16233917,10.43324064,11.39560784,11.3855608,10.09384209,10.30136353,10.17037726,9.988785916,11.24556686,11.38352676
Arsi,10.668746455,10.504900895,8.284538337,8.918664483,9.416361921,8.0635794215,10.996509735,10.743504515,8.718628436,8.7429930405,11.055976875,10.2737582525,10.74999865,10.2072034835,8.3716568215,8.776335656
Timp3,10.5133325096667,10.5796426756667,11.8055733066667,11.4655757676667,11.7576219023333,11.9302738296667,10.790350215,10.7563220533333,12.3453788476667,12.1084898566667,10.6900635833333,10.3449147946667,10.4654788046667,10.4723679513333,12.1557216153333,12.2763784973333
Phldb2,10.9376997533333,10.5414976036667,9.03214645933333,9.18876966666667,9.564222548,8.987241915,10.8635489706667,10.6376165746667,9.44624940633333,9.38963568166667,10.6824115053333,10.324941117,10.6789341266667,10.5075287976667,9.392559956,9.646584595
